"","Date","WL","Cond","NO3","NH4","Flow","NO3E","NH4E","water","NO3C","NH4C","waterin","waterin2","watercm2"
"16458",2017-01-01 12:30:00,1.539,"OFF",0.2091766,0.005,0,0,0,0,0,0,0,0,0
"16459",2017-01-01 12:45:00,1.539,"OFF",0.2111418,0.005,0,0,0,0,0,0,0,0,0
"16460",2017-01-01 13:00:00,1.538,"OFF",0.213107,0.005,0,0,0,0,0,0,0,0,0
"16461",2017-01-01 13:15:00,1.537,"OFF",0.2312851,0.005,0,0,0,0,0,0,0,0,0
"16462",2017-01-01 13:30:00,1.539,"OFF",0.2494632,0.005,0,0,0,0,0,0,0,0,0
"16463",2017-01-01 13:45:00,1.537,"OFF",0.2008245,0.005,0,0,0,0,0,0,0,0,0
"16464",2017-01-01 14:00:00,1.539,"OFF",0.1521858,0.005,0,0,0,0,0,0,0,0,0
"16465",2017-01-01 14:15:00,1.538,"OFF",0.1659422,0.005,0,0,0,0,0,0,0,0,0
"16466",2017-01-01 14:30:00,1.538,"OFF",0.1796986,0.005,0,0,0,0,0,0,0,0,0
"16467",2017-01-01 14:45:00,1.538,"OFF",0.1855942,0.005,0,0,0,0,0,0,0,0,0
"16468",2017-01-01 15:00:00,1.539,"OFF",0.1914898,0.005,0,0,0,0,0,0,0,0,0
"16469",2017-01-01 15:15:00,1.541,"OFF",0.1875594,0.009399906,0,0,0,0,0,0,0,0,0
"16470",2017-01-01 15:30:00,1.539,"OFF",0.183629,0.013799812,0,0,0,0,0,0,0,0,0
"16471",2017-01-01 15:45:00,1.539,"OFF",0.1693813,0.0833551295,0,0,0,0,0,0,0,0,0
"16472",2017-01-01 16:00:00,1.538,"OFF",0.1551336,0.152910447,0,0,0,0,0,0,0,0,0
"16473",2017-01-01 16:15:00,1.538,"OFF",0.1163209,0.284822369,0,0,0,0,0,0,0,0,0
"16474",2017-01-01 16:30:00,1.539,"OFF",0.0775082,0.416734291,0,0,0,0,0,0,0,0,0
"16475",2017-01-01 16:45:00,1.538,"OFF",0.0937211,0.39450511,0,0,0,0,0,0,0,0,0
"16476",2017-01-01 17:00:00,1.539,"OFF",0.109934,0.372275929,0,0,0,0,0,0,0,0,0
"16477",2017-01-01 17:15:00,1.538,"OFF",0.1005993,0.412540124,0,0,0,0,0,0,0,0,0
"16478",2017-01-01 17:30:00,1.537,"OFF",0.0912646,0.452804319,0,0,0,0,0,0,0,0,0
"16479",2017-01-01 17:45:00,1.539,"OFF",0.0789821,0.49911364,0,0,0,0,0,0,0,0,0
"16480",2017-01-01 18:00:00,1.538,"OFF",0.0666996,0.545422961,0,0,0,0,0,0,0,0,0
"16481",2017-01-01 18:15:00,1.538,"OFF",0.0483498,0.5516956405,0,0,0,0,0,0,0,0,0
"16482",2017-01-01 18:30:00,1.538,"OFF",0.03,0.55796832,0,0,0,0,0,0,0,0,0
"16483",2017-01-01 18:45:00,1.537,"OFF",0.03,0.555980859,0,0,0,0,0,0,0,0,0
"16484",2017-01-01 19:00:00,1.538,"OFF",0.03,0.553993398,0,0,0,0,0,0,0,0,0
