Date,NO3,NH4
7/13/2016 12:29,0.3251234,0.133418081
7/13/2016 12:59,0.3005584,0.133789228
7/13/2016 13:29,0.3202104,0.133972837
7/13/2016 13:59,0.2897498,0.128671186
7/13/2016 14:29,0.2848368,0.126501036
7/13/2016 14:59,0.2700978,0.133615763
7/13/2016 15:29,0.2809064,0.138309584
7/13/2016 15:59,0.2907324,0.135565954
7/13/2016 16:29,0.2710804,0.141857227
7/13/2016 16:59,0.2563414,0.130761905
7/13/2016 17:29,0.2583066,0.133754779
7/13/2016 17:59,0.2307938,0.143159227
7/13/2016 18:29,0.2543762,0.141097009
7/13/2016 18:59,0.2013158,0.142037813
7/13/2016 19:29,0.203281,0.147347416
7/13/2016 19:59,0.21802,0.138979048
7/13/2016 20:29,0.208194,0.136817299
7/13/2016 20:59,0.2042636,0.141548067
7/13/2016 21:29,0.232759,0.146133654
7/13/2016 21:59,0.188542,0.152947553
7/13/2016 22:29,0.2209678,0.154886343
7/13/2016 22:59,0.2101592,0.151063769
7/13/2016 23:29,0.2003332,0.151819751
7/13/2016 23:59,0.1914898,0.154623441
7/14/2016 0:29,0.203281,0.145593224
7/14/2016 0:59,0.2396372,0.142787674
7/14/2016 1:29,0.2455328,0.127946843
7/14/2016 1:59,0.2710804,0.12342745
7/14/2016 2:29,0.272063,0.129820132
7/14/2016 2:59,0.2661674,0.131452455
7/14/2016 3:29,0.2435676,0.135789225
7/14/2016 3:59,0.2533936,0.132212722
7/14/2016 4:29,0.2936802,0.139673461
7/14/2016 4:59,0.257324,0.133895732
7/14/2016 5:29,0.3005584,0.140862016
7/14/2016 5:59,0.291715,0.147239701
7/14/2016 6:29,0.2681326,0.145622462
7/14/2016 6:59,0.2583066,0.146836126
7/14/2016 7:29,0.281889,0.147487471
7/14/2016 7:59,0.2681326,0.143805146
7/14/2016 8:29,0.2484806,0.150927661
7/14/2016 8:59,0.2740282,0.144513231
7/14/2016 9:29,0.2740282,0.146659636
7/14/2016 9:59,0.2583066,0.157453628
7/14/2016 10:29,0.2288286,0.162556672
7/14/2016 10:59,0.2219504,0.182634847
7/14/2016 11:29,0.198368,0.18486613
7/14/2016 11:59,0.1973854,0.18554183
7/14/2016 12:29,0.2543762,0.178764604
7/14/2016 12:59,0.2199852,0.173108646
7/14/2016 13:29,0.2283373,0.196866381
7/14/2016 13:59,0.2366894,0.170263163
7/14/2016 14:29,0.2298112,0.158482402
7/14/2016 14:59,0.2209678,0.156763703
7/14/2016 15:29,0.2268634,0.157144158
7/14/2016 15:59,0.2209678,0.157315004
7/14/2016 16:29,0.247498,0.155264225
7/14/2016 16:59,0.2455328,0.147186127
7/14/2016 17:29,0.1708552,0.154114896
7/14/2016 17:59,0.257324,0.14913487
7/14/2016 18:29,0.2396372,0.142556517
7/14/2016 18:59,0.2681326,0.138924908
7/14/2016 19:29,0.2858194,0.131526755
7/14/2016 19:59,0.286802,0.133941845
7/14/2016 20:29,0.252411,0.154237825
7/14/2016 20:59,0.2514284,0.148128804
7/14/2016 21:29,0.2848368,0.155373643
7/14/2016 21:59,0.2612544,0.161452854
7/14/2016 22:29,0.2366894,0.158319991
7/14/2016 22:59,0.2042636,0.177450545
7/14/2016 23:29,0.2042636,0.214656019
7/14/2016 23:59,0.2022984,0.236737553
7/15/2016 0:29,0.188542,0.242021675
7/15/2016 0:59,0.1620118,0.246273077
7/15/2016 1:29,0.2003332,0.226848271
7/15/2016 1:59,0.203281,0.203032038
7/15/2016 2:29,0.2199852,0.189820833
7/15/2016 2:59,0.2435676,0.181591925
7/15/2016 3:29,0.2632196,0.184899718
7/15/2016 3:59,0.2799238,0.174321556
7/15/2016 4:29,0.2750108,0.171037799
7/15/2016 4:59,0.257324,0.156710223
7/15/2016 5:29,0.2730456,0.168324671
7/15/2016 5:59,0.2956454,0.172357083
7/15/2016 6:29,0.2877846,0.173687377
7/15/2016 6:59,0.2691152,0.186675024
7/15/2016 7:29,0.311367,0.184830221
7/15/2016 7:59,0.26715,0.179165598
7/15/2016 8:29,0.296628,0.175698083
7/15/2016 8:59,0.3133322,0.167676592
7/15/2016 9:29,0.3290538,0.164508376
7/15/2016 9:59,0.3103844,0.162822706
7/15/2016 10:29,0.3172626,0.15180794
7/15/2016 10:59,0.306454,0.156685476
7/15/2016 11:29,0.2985932,0.152080521
7/15/2016 11:59,0.3152974,0.138653017
7/15/2016 12:29,0.2976106,0.136059271
7/15/2016 12:59,0.3182452,0.13169405
7/15/2016 13:29,0.3054714,0.129877003
7/15/2016 13:59,0.3094018,0.13767697
7/15/2016 14:29,0.3152974,0.131898507
7/15/2016 14:59,0.2936802,0.132187992
7/15/2016 15:29,0.3103844,0.148267881
7/15/2016 15:59,0.2877846,0.135719725
7/15/2016 16:29,0.2799238,0.131306316
7/15/2016 16:59,0.2907324,0.135194414
7/15/2016 17:29,0.3044888,0.137196121
7/15/2016 17:59,0.281889,0.138430892
7/15/2016 18:29,0.3339668,0.132635164
7/15/2016 18:59,0.2956454,0.137717768
7/15/2016 19:29,0.2759934,0.148438694
7/15/2016 19:59,0.2976106,0.147392814
7/15/2016 20:29,0.291715,0.144385231
7/15/2016 20:59,0.296628,0.141412539
7/15/2016 21:29,0.306454,0.147077544
7/15/2016 21:59,0.3270886,0.147818482
7/15/2016 22:29,0.3025236,0.14402779
7/15/2016 22:59,0.3152974,0.14806747
7/15/2016 23:29,0.3094018,0.152483079
7/15/2016 23:59,0.3054714,0.154656444
7/16/2016 0:29,0.2828716,0.160726994
7/16/2016 0:59,0.2789412,0.159437708
7/16/2016 1:29,0.3005584,0.16627226
7/16/2016 1:59,0.296628,0.166958654
7/16/2016 2:29,0.2700978,0.163889495
7/16/2016 2:59,0.2995758,0.159814643
7/16/2016 3:29,0.2750108,0.150511228
7/16/2016 3:59,0.2799238,0.152039738
7/16/2016 4:29,0.281889,0.151473346
7/16/2016 4:59,0.3192278,0.159801288
7/16/2016 5:29,0.321193,0.169962539
7/16/2016 5:59,0.331019,0.178655757
7/16/2016 6:29,0.3320016,0.173728108
7/16/2016 6:59,0.3035062,0.169998851
7/16/2016 7:29,0.3005584,0.165442662
7/16/2016 7:59,0.3182452,0.163766778
7/16/2016 8:29,0.3369146,0.166295359
7/16/2016 8:59,0.3290538,0.166554876
7/16/2016 9:29,0.3172626,0.160320823
7/16/2016 9:59,0.3487058,0.155734798
7/16/2016 10:29,0.321193,0.151314458
7/16/2016 10:59,0.3349494,0.152291646
7/16/2016 11:29,0.3339668,0.144912237
7/16/2016 11:59,0.3378972,0.14644833
7/16/2016 12:29,0.3280712,0.146219641
7/16/2016 12:59,0.3005584,0.137253956
7/16/2016 13:29,0.3035062,0.149179872
7/16/2016 13:59,0.3634448,0.119473925
7/16/2016 14:29,0.3428102,0.111671299
7/16/2016 14:59,0.3025236,0.095429232
7/16/2016 15:29,0.326106,0.09654569
7/16/2016 15:59,0.3329842,0.104739164
7/16/2016 16:29,0.2907324,0.108602885
7/16/2016 16:59,0.3094018,0.108974878
7/16/2016 17:29,0.3143148,0.105268454
7/16/2016 17:59,0.3290538,0.105865217
7/16/2016 18:29,0.3447754,0.113025751
7/16/2016 18:59,0.3447754,0.112827862
7/16/2016 19:29,0.2838542,0.100530332
7/16/2016 19:59,0.3044888,0.106838118
7/16/2016 20:29,0.335932,0.102398693
7/16/2016 20:59,0.3152974,0.103502163
7/16/2016 21:29,0.3182452,0.101131815
7/16/2016 21:59,0.2700978,0.099932995
7/16/2016 22:29,0.301541,0.097900832
7/16/2016 22:59,0.3231582,0.103899689
7/16/2016 23:29,0.306454,0.105330357
7/16/2016 23:59,0.3123496,0.108333797
7/17/2016 0:29,0.2976106,0.104143958
7/17/2016 0:59,0.306454,0.102351599
7/17/2016 1:29,0.31628,0.100920255
7/17/2016 1:59,0.3221756,0.101676805
7/17/2016 2:29,0.311367,0.106746244
7/17/2016 2:59,0.3329842,0.088355333
7/17/2016 3:29,0.380149,0.097230743
7/17/2016 3:59,0.3369146,0.085880353
7/17/2016 4:29,0.3713056,0.08491345
7/17/2016 4:59,0.3644274,0.086020397
7/17/2016 5:29,0.3477232,0.087979151
7/17/2016 5:59,0.3585318,0.081810573
7/17/2016 6:29,0.3516536,0.084551779
7/17/2016 6:59,0.3624622,0.082925176
7/17/2016 7:29,0.3487058,0.085079523
7/17/2016 7:59,0.335932,0.081816924
7/17/2016 8:29,0.3143148,0.081920383
7/17/2016 8:59,0.3241408,0.082228481
7/17/2016 9:29,0.3320016,0.089380641
7/17/2016 9:59,0.3241408,0.090442237
7/17/2016 10:29,0.311367,0.087355052
7/17/2016 10:59,0.3280712,0.083573983
7/17/2016 11:29,0.3349494,0.086091047
7/17/2016 11:59,0.3270886,0.084680088
7/17/2016 12:29,0.3369146,0.081540718
7/17/2016 12:59,0.3221756,0.080603871
7/17/2016 13:29,0.296628,0.08601027
7/17/2016 13:59,0.296628,0.087238391
7/17/2016 14:29,0.3005584,0.084734339
7/17/2016 14:59,0.3467406,0.083773945
7/17/2016 15:29,0.2838542,0.081810101
7/17/2016 15:59,0.2887672,0.086952031
7/17/2016 16:29,0.2897498,0.082358807
7/17/2016 16:59,0.2985932,0.085999684
7/17/2016 17:29,0.2858194,0.086307601
7/17/2016 17:59,0.2681326,0.090377138
7/17/2016 18:29,0.2681326,0.086397891
7/17/2016 18:59,0.2877846,0.091392858
7/17/2016 19:29,0.291715,0.086723184
7/17/2016 19:59,0.2976106,0.085512871
7/17/2016 20:29,0.2995758,0.078379527
7/17/2016 20:59,0.31628,0.063362086
7/17/2016 21:29,0.3388798,0.071393832
7/17/2016 21:59,0.321193,0.063049514
7/17/2016 22:29,0.3103844,0.067276027
7/17/2016 22:59,0.3123496,0.061639494
7/17/2016 23:29,0.3300364,0.062038697
7/17/2016 23:59,0.306454,0.06661671
7/18/2016 0:29,0.321193,0.056549891
7/18/2016 0:59,0.3300364,0.060678515
7/18/2016 1:29,0.3634448,0.054149274
7/18/2016 1:59,0.3182452,0.05943114
7/18/2016 2:29,0.3595144,0.058380303
7/18/2016 2:59,0.2907324,0.06530936
7/18/2016 3:29,0.2976106,0.07741943
